Test ID,Device ID,Marker,Repetition,Detected,Detection Time (s),Correct 3D Object,Correct Information,Stable 10 s,Status,Notes
MAP-001,D1,Cs,1,,,,,,Not Tested,
MAP-002,D1,Cs,2,,,,,,Not Tested,
MAP-003,D1,Cs,3,,,,,,Not Tested,
MAP-004,D1,Fr,1,,,,,,Not Tested,
MAP-005,D1,Fr,2,,,,,,Not Tested,
MAP-006,D1,Fr,3,,,,,,Not Tested,
MAP-007,D1,K,1,,,,,,Not Tested,
MAP-008,D1,K,2,,,,,,Not Tested,
MAP-009,D1,K,3,,,,,,Not Tested,
MAP-010,D1,Li,1,,,,,,Not Tested,
MAP-011,D1,Li,2,,,,,,Not Tested,
MAP-012,D1,Li,3,,,,,,Not Tested,
MAP-013,D1,Na,1,,,,,,Not Tested,
MAP-014,D1,Na,2,,,,,,Not Tested,
MAP-015,D1,Na,3,,,,,,Not Tested,
MAP-016,D1,Rb,1,,,,,,Not Tested,
MAP-017,D1,Rb,2,,,,,,Not Tested,
MAP-018,D1,Rb,3,,,,,,Not Tested,
MAP-019,D1,Ba,1,,,,,,Not Tested,
MAP-020,D1,Ba,2,,,,,,Not Tested,
MAP-021,D1,Ba,3,,,,,,Not Tested,
MAP-022,D1,Be,1,,,,,,Not Tested,
MAP-023,D1,Be,2,,,,,,Not Tested,
MAP-024,D1,Be,3,,,,,,Not Tested,
MAP-025,D1,Ca,1,,,,,,Not Tested,
MAP-026,D1,Ca,2,,,,,,Not Tested,
MAP-027,D1,Ca,3,,,,,,Not Tested,
MAP-028,D1,Mg,1,,,,,,Not Tested,
MAP-029,D1,Mg,2,,,,,,Not Tested,
MAP-030,D1,Mg,3,,,,,,Not Tested,
MAP-031,D1,Ra,1,,,,,,Not Tested,
MAP-032,D1,Ra,2,,,,,,Not Tested,
MAP-033,D1,Ra,3,,,,,,Not Tested,
MAP-034,D1,Sr,1,,,,,,Not Tested,
MAP-035,D1,Sr,2,,,,,,Not Tested,
MAP-036,D1,Sr,3,,,,,,Not Tested,
MAP-037,D1,Al,1,,,,,,Not Tested,
MAP-038,D1,Al,2,,,,,,Not Tested,
MAP-039,D1,Al,3,,,,,,Not Tested,
MAP-040,D1,B,1,,,,,,Not Tested,
MAP-041,D1,B,2,,,,,,Not Tested,
MAP-042,D1,B,3,,,,,,Not Tested,
MAP-043,D1,Ga,1,,,,,,Not Tested,
MAP-044,D1,Ga,2,,,,,,Not Tested,
MAP-045,D1,Ga,3,,,,,,Not Tested,
MAP-046,D1,In,1,,,,,,Not Tested,
MAP-047,D1,In,2,,,,,,Not Tested,
MAP-048,D1,In,3,,,,,,Not Tested,
MAP-049,D1,Nh,1,,,,,,Not Tested,
MAP-050,D1,Nh,2,,,,,,Not Tested,
MAP-051,D1,Nh,3,,,,,,Not Tested,
MAP-052,D1,Ti,1,,,,,,Not Tested,
MAP-053,D1,Ti,2,,,,,,Not Tested,
MAP-054,D1,Ti,3,,,,,,Not Tested,
MAP-055,D1,C,1,,,,,,Not Tested,
MAP-056,D1,C,2,,,,,,Not Tested,
MAP-057,D1,C,3,,,,,,Not Tested,
MAP-058,D1,Fl,1,,,,,,Not Tested,
MAP-059,D1,Fl,2,,,,,,Not Tested,
MAP-060,D1,Fl,3,,,,,,Not Tested,
MAP-061,D1,Ge,1,,,,,,Not Tested,
MAP-062,D1,Ge,2,,,,,,Not Tested,
MAP-063,D1,Ge,3,,,,,,Not Tested,
MAP-064,D1,Pb,1,,,,,,Not Tested,
MAP-065,D1,Pb,2,,,,,,Not Tested,
MAP-066,D1,Pb,3,,,,,,Not Tested,
MAP-067,D1,Si,1,,,,,,Not Tested,
MAP-068,D1,Si,2,,,,,,Not Tested,
MAP-069,D1,Si,3,,,,,,Not Tested,
MAP-070,D1,Sn,1,,,,,,Not Tested,
MAP-071,D1,Sn,2,,,,,,Not Tested,
MAP-072,D1,Sn,3,,,,,,Not Tested,
MAP-073,D1,As,1,,,,,,Not Tested,
MAP-074,D1,As,2,,,,,,Not Tested,
MAP-075,D1,As,3,,,,,,Not Tested,
MAP-076,D1,Bi,1,,,,,,Not Tested,
MAP-077,D1,Bi,2,,,,,,Not Tested,
MAP-078,D1,Bi,3,,,,,,Not Tested,
MAP-079,D1,Mc,1,,,,,,Not Tested,
MAP-080,D1,Mc,2,,,,,,Not Tested,
MAP-081,D1,Mc,3,,,,,,Not Tested,
MAP-082,D1,N,1,,,,,,Not Tested,
